"","geo_code"
"1","E02002330"
"2","E02002331"
"3","E02002332"
"4","E02002333"
"5","E02002334"
"6","E02002335"
"7","E02002336"
"8","E02002337"
"9","E02002338"
"10","E02002339"
"11","E02002340"
"12","E02002341"
"13","E02002342"
"14","E02002343"
"15","E02002344"
"16","E02002345"
"17","E02002346"
"18","E02002347"
"19","E02002348"
"20","E02002349"
"21","E02002350"
"22","E02002351"
"23","E02002352"
"24","E02002353"
"25","E02002354"
"26","E02002356"
"27","E02002357"
"28","E02002358"
"29","E02002359"
"30","E02002360"
"31","E02002361"
"32","E02002362"
"33","E02002363"
"34","E02002364"
"35","E02002366"
"36","E02002367"
"37","E02002368"
"38","E02002369"
"39","E02002370"
"40","E02002371"
"41","E02002373"
"42","E02002374"
"43","E02002375"
"44","E02002376"
"45","E02002377"
"46","E02002379"
"47","E02002380"
"48","E02002381"
"49","E02002382"
"50","E02002383"
"51","E02002384"
"52","E02002385"
"53","E02002386"
"54","E02002387"
"55","E02002388"
"56","E02002389"
"57","E02002390"
"58","E02002391"
"59","E02002392"
"60","E02002393"
"61","E02002394"
"62","E02002395"
"63","E02002396"
"64","E02002397"
"65","E02002398"
"66","E02002399"
"67","E02002400"
"68","E02002401"
"69","E02002402"
"70","E02002403"
"71","E02002404"
"72","E02002405"
"73","E02002406"
"74","E02002407"
"75","E02002408"
"76","E02002409"
"77","E02002410"
"78","E02002411"
"79","E02002412"
"80","E02002414"
"81","E02002415"
"82","E02002416"
"83","E02002417"
"84","E02002418"
"85","E02002419"
"86","E02002420"
"87","E02002421"
"88","E02002422"
"89","E02002423"
"90","E02002424"
"91","E02002425"
"92","E02002426"
"93","E02002427"
"94","E02002428"
"95","E02002429"
"96","E02002430"
"97","E02002431"
"98","E02002432"
"99","E02002433"
"100","E02002434"
"101","E02002435"
"102","E02002436"
"103","E02002437"
"104","E02006852"
"105","E02006861"
"106","E02006875"
"107","E02006876"
